,title,price,asin,imageURLHighRes,ratings
1177,"Swiffer 180 Dusters Multi Surface Refills, Citrus &amp; Zest scent, 12 Count (Packaging May Vary)",$8.48,B00QQHZXLC,"['https://images-na.ssl-images-amazon.com/images/I/51peC41PHKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/5148-sU-rbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51mZOAXz2IL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/513YIrUHAeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41j71iinXfL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41thtvQM2KL.jpg']",4.656716417910448
1178,"Febreze FABRIC Refresher, Linen &amp; Sky, 1 Count, 27 oz",$4.94,B00QQHZES4,"['https://images-na.ssl-images-amazon.com/images/I/41Sr8zbEtaL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51r5E3tuMLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51mizUGZ4aL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/514KThtUFzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51xBrTI5QRL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/314qIU4raML.jpg']",4.551020408163265
1179,"Febreze FABRIC Refresher, Allergen Reducer, Clean Splash (1 Count, 500 mL)",$4.85,B00QQHZLEQ,"['https://images-na.ssl-images-amazon.com/images/I/41%2BTeJhwl7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51r5E3tuMLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/514KThtUFzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51mizUGZ4aL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31fMcW5e-UL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-TE4XpblL.jpg']",4.419642857142857
1180,Murphy's Oil Soap Wood Cleaner Spray with Orange Oil - 22 fluid ounce,$5.99,B00QQI22LA,"['https://images-na.ssl-images-amazon.com/images/I/51rG-%2BcCpML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51SPiR5dYEL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51tBpMggkOL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61R0ast092L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61ii4ARZcmL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61Ua%2B23nURL.jpg']",4.231578947368421
1181,"Arm &amp; Hammer Extra Strength Carpet Odor Eliminator, 30 Oz",$1.59,B00QRTD3I4,"['https://images-na.ssl-images-amazon.com/images/I/51LHjSAqnCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/511DgsiGdyL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31ZhzvC8prL.jpg']",4.5458167330677295
1182,"OxiClean Extreme Power Crystals Dishwasher Detergent Packs, Lemon Clean, 26 Count",$5.73,B00QRTDZM8,"['https://images-na.ssl-images-amazon.com/images/I/51puhelMi9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41mY-%2BPmqfL.jpg']",4.672131147540983
1183,"Arm &amp; Hammer Liquid Laundry, Clean Burst Dual He, 50 Fluid Ounce",$2.87,B00QRTDHG2,"['https://images-na.ssl-images-amazon.com/images/I/51yN-pgujGL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510ltE1ICQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31adHMkI4HL.jpg']",3.8181818181818183
1184,"KIND Healthy Grains Granola Bars, Oats and Honey with Toasted Coconut, Gluten Free, 1.2 oz Bars, 5 Count",$2.72,B00QT7UAE4,"['https://images-na.ssl-images-amazon.com/images/I/61XPoAwlmLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41TBDY%2BHh3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51GS9HATSaL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41pzehjScpL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51aoG51PHBL.jpg']",4.4640522875816995
1185,"KIND Healthy Grains Bars, Vanilla Blueberry, Gluten Free, 1.2 oz, 5 Count",$2.79,B00QT7VCIW,"['https://images-na.ssl-images-amazon.com/images/I/61HNLIP8vlL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61rJUIrRFeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51AC6S1jaFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61WvkuGL9NL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41SGxTclefL.jpg']",4.60377358490566
1186,KIND Vanilla Blueberry Cluster With Flax 11 Ounces,$4.79,B00QT7VXLI,"['https://images-na.ssl-images-amazon.com/images/I/31uDMTGmB7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51mk1CiUbeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61nCj-hPdWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/416OgV1aRiL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51EpIWH78aL.jpg']",3.769230769230769
1187,"KIND Healthy Grains Clusters, Raspberry with Chia Seeds Granola, Gluten Free, 11 Ounce Bag",$4.78,B00QT7WQQ4,"['https://images-na.ssl-images-amazon.com/images/I/41PJL-9J%2BAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/514m-GcwNNL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61ajv6NNNiL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/316dggx-5JL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51u1xJBiJPL.jpg']",4.37037037037037
1188,"KIND Healthy Grains Healthy Grains Clusters, Oats and Honey with Toasted Coconut, Gluten Free, 11 Ounce Bag",$4.49,B00QT7W3WG,"['https://images-na.ssl-images-amazon.com/images/I/51uciIRE3lL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31dmv%2BG8Z8L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51HjPc-TzbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61CXJJRIw7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41qWw1w83fL.jpg']",4.415094339622642
1189,"KIND Healthy Grains Healthy Grains Clusters, Banana Nut , Gluten Free, 11 Ounce Bag",$4.83,B00QT7WK3I,"['https://images-na.ssl-images-amazon.com/images/I/51okMAV66XL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31%2Bqt5Y-z0L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51PHXP5CKFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51TXPmI4WIL.jpg']",4.333333333333333
1190,"KIND Healthy Grains Granola Clusters, Peanut Butter Whole Grain, 11 Ounce Bag, 1 Count",$4.53,B00QT7VJ08,"['https://images-na.ssl-images-amazon.com/images/I/51GZh5h1fLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41BJwe3RonL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51V32XbWBtL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51TcvjX-FtL.jpg']",4.714285714285714
1191,"KIND Healthy Grains Clusters, Maple Quinoa with Chia Seeds Granola, Gluten Free, 11 Ounce Bag",$4.79,B00QT7WD5I,"['https://images-na.ssl-images-amazon.com/images/I/41idF6CIZjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61hDufHhP4L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51mk1CiUbeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61f2eeoq%2BeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31A42%2BZ05VL.jpg']",4.533333333333333
1192,"Mr. Clean Magic Eraser Extra Durable, Cleaning Pads with Durafoam, 4 Count (Packaging May Vary)",$3.19,B00QTLZYQ4,"['https://images-na.ssl-images-amazon.com/images/I/51hjsuC3ULL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41p-TrqFfRL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41o0lMspQeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51jDuhJ5I5L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/414jTRgYjdL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51K8PjNcvnL.jpg']",4.7
1193,"Gain Liquid Detergent with Original Scent, 32 Loads, 50-Ounce (Packaging May Vary)",$6.29,B00QTM1C82,"['https://images-na.ssl-images-amazon.com/images/I/418etc4whiL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41RUpDeYX3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51kxRw3Ov2L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51XfW55wU7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51PMur1sddL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51pkm3MQIUL.jpg']",4.63302752293578
1194,"Dixie Ultra Paper Plates, 10 1/16 Inch Plates, 44 Count; Designs May Vary",$5.12,B00QTLZAI6,"['https://images-na.ssl-images-amazon.com/images/I/61lLaN08m3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Fk7ZXl0SL.jpg']",4.53125
1195,"Febreze Air Freshener, Fabric Refresher Air Freshener, Spring &amp; Renewal Air Freshener, 27 Fluid Ounce",$4.94,B00QTM03A0,"['https://images-na.ssl-images-amazon.com/images/I/41nTwoG1%2BML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41vyBwiNEYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41-Ttp9oP0L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51r5E3tuMLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51mizUGZ4aL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/514KThtUFzL.jpg']",4.46218487394958
1196,"Mr. Clean with Febreze Meadows and Rain Multi-Surface Cleaner, 40 fl oz",$2.69,B00QTLZJ7S,"['https://images-na.ssl-images-amazon.com/images/I/41ivv7uvwXL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Lckw%2BN1LL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51nHW%2BoQgtL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jxRlEetSL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ylYHxCagL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51DKlyP5brL.jpg']",4.767068273092369
1197,"Clorox ToiletWand Disinfecting Refills, Disposable Wand Heads - 20 Count",$8.88,B00QTUE3AS,"['https://images-na.ssl-images-amazon.com/images/I/41Hd9QFsecL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51jMuI6gbZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41RAKEpZsYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Q3K5l0rqL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51UbmzfLECL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51A0Ryc4alL.jpg']",4.683646112600536
1198,OUT! Oxygen Activated Pet Stain and Odor Remover,$3.98,B00QTUEB6Y,"['https://images-na.ssl-images-amazon.com/images/I/41mAApWsPpL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31lwmr-iorL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41%2B-DHM0ZZL.jpg']",4.375
1199,"DampRid FG83K Hanging Moisture Absorber Fresh Scent, 3 Count",$7.97,B00QTUDXHW,"['https://images-na.ssl-images-amazon.com/images/I/513DUAY4TNL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51L6YxUGmCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41xbr4pRgAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41t8JVPYBUL.jpg']",4.521739130434782
1200,"Kellogg's Breakfast Cereal, Frosted Mini-Wheats, Original, Low Fat, Excellent Source of Fiber, Family Size, 24 oz Box",$3.64,B00QTX0D18,"['https://images-na.ssl-images-amazon.com/images/I/61dS0NU9n2L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51GVVI8kCOL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51EYzg2iPjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51d0eTKYcHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ZF6neRD3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/416nVeVvS7L.jpg']",4.598173515981735
1201,"Gain HEC Ultra Original Powder Laundry Detergent, 80 Loads, 91 Oz",$10.47,B00R12O970,"['https://images-na.ssl-images-amazon.com/images/I/51V8J0CRPQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41wK4yY4LxL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/519awF0S0gL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41IUAaHPkgL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ooZreWy6L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/5139cxUTyCL.jpg']",4.723880597014926
1202,"Special K Cereal Cinnamon Pecan, 12.1 oz",$2.89,B00R14HINA,"['https://images-na.ssl-images-amazon.com/images/I/51tyM2GUm9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510mODQR9oL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/513r5HOtYyL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51qoaLsYbxL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41x-IFPfHlL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31SN3QuMupL.jpg']",4.517543859649122
1203,"Snuggle Fabric Softener Dryer Sheets, Blue Sparkle, 120 Count",$4.98,B00R1CRSWI,"['https://images-na.ssl-images-amazon.com/images/I/51SopLlCa9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/513V8SYb7cL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61SlaCi8oVL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51QlA7D3r9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61ymLXTtOCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41177eYTK3L.jpg']",4.754716981132075
1204,"Scotties 2-Ply Facial Tissue, 100 Count (Pack of 4)",$6.37,B00R1CRINW,"['https://images-na.ssl-images-amazon.com/images/I/51i1vzPp3WL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51JgG2KvT9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41zlMiqUJ%2BL.jpg']",4.222222222222222
1205,"Gain Dryer Sheets, Original, 120 Count (Packaging May Vary)",$4.56,B00R1CS5RU,"['https://images-na.ssl-images-amazon.com/images/I/51pFZXvs8UL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/512p8eUm-YL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51oFFtlDRZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51%2B9Xnsc4-L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51TyL8NcQxL.jpg']",4.795774647887324
1206,"Gain Liquid Fabric Softener, Original Scent, 60 loads, 51oz",$5.34,B00R1CS3CM,"['https://images-na.ssl-images-amazon.com/images/I/41iG5vGUS7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41JomTOVGgL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41XNDyFeFdL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41UUt-67OFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ZeGuvuZSL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/516x0meoG2L.jpg']",4.74
1207,"Nature Valley Granola Bars, Sweet and Salty Nut, Almond, 6 Bars - 1.2 oz",$2.95,B00R1H0HKI,"['https://images-na.ssl-images-amazon.com/images/I/614LXOSsFiL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61JiuT39FWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61V5pEUnMWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41AqxUSTolL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51kbDOSpXeL.jpg']",4.775280898876405
1208,"Nature Valley Chewy Granola Bar, Trail Mix, Fruit and Nut, 6 Bars - 1.2 oz",$3.09,B00R1H0O1K,"['https://images-na.ssl-images-amazon.com/images/I/61dV%2BT0hGjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61JiuT39FWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61wZJu6mJOL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41AqxUSTolL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51QULiVANUL.jpg']",4.453333333333333
1209,"Nature Valley Granola Bars, Crunchy, Peanut Butter, 6 Pouches - 1.5 oz, 2-Bars Per Pouch (Total 12 Bars)",$2.98,B00R1H0SCA,"['https://images-na.ssl-images-amazon.com/images/I/61TWCAm-TQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61BGsFrTJ1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51p5r12HoKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51cZ9FeK9fL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51aX1OiIXKL.jpg']",4.304878048780488
1210,"Fiber One Brownies, 90 Calorie Bar, Chocolate Fudge Brownie, 6 Fiber Bars, 5.34 oz",$3.09,B00R1H0KQO,"['https://images-na.ssl-images-amazon.com/images/I/61XIan0lDdL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51YhVtEgdyL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51fqHq6o7nL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41l4k%2BLuZwL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41HiK-aG%2BmL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fxZfUOZ7L.jpg']",4.285714285714286
1211,"Nature Valley Granola Bars, Sweet and Salty Nut, Peanut, 6 Bars - 1.2 oz",$1.99,B00R1H0EEW,"['https://images-na.ssl-images-amazon.com/images/I/61wNJPSkPrL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61JiuT39FWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61fnWzpNJGL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41AqxUSTolL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/5194ZgeYhqL.jpg']",4.758389261744966
1212,"Cocoa Puffs Cereal, Chocolate Cereal, 11.8 oz",$3.99,B00R1H00QE,"['https://images-na.ssl-images-amazon.com/images/I/51vzun3FliL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51BJ39sCMwL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51aqHMZPXjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Vhb9xGSoL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Ni%2BONTIlL.jpg']",4.052631578947368
1213,"Nature Valley Granola Bars, Sweet and Salty Nut, Dark Chocolate Peanut &amp; Almond, 6 Bars - 1.2 oz",$2.95,B00R1H0V18,"['https://images-na.ssl-images-amazon.com/images/I/61B6JLdIcbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61JiuT39FWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61q0tFSK3uL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41AqxUSTolL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51u73uKhw7L.jpg']",4.711111111111111
1214,"Rice Chex Cereal, Gluten-Free Cereal, 12 oz",$2.98,B00R1H0438,"['https://images-na.ssl-images-amazon.com/images/I/61haYkyReQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51coyQEQpaL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51CzG3KnNpL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51sldNfDy4L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61d1nXrSrFL.jpg']",4.571428571428571
1215,"Fiber One Protein Bar, Caramel Nut Chewy Bars, 5 Fiber Bars, 5.85 oz",$3.19,B00R1H0YCY,"['https://images-na.ssl-images-amazon.com/images/I/41I7r5LNk7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DZ6KfzA7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/412L1anZdAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41S820kzqML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/517jPZdHTGL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51%2B%2BpzzcgrL.jpg']",4.33
1216,"Fiber One Brownies, 90 Calorie Bar, Chocolate Chip Cookie, 6 Fiber Bars, 5.34 oz",$3.09,B00R1H11DK,"['https://images-na.ssl-images-amazon.com/images/I/61P9KWEn-tL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51PromHoY8L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51kqaVHV9KL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41PLtlpLQkL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41QAzCHRlvL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51EVfNQI3yL.jpg']",4.3
1217,"Chocolate Chex Cereal, Gluten-Free Cereal, 12.8 oz",$2.87,B00R1GZONE,"['https://images-na.ssl-images-amazon.com/images/I/61ASliUB1RL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61JspMyZjLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51CKAfNtuiL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61C7PuVK4rL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/617UzJnLdeL.jpg']",4.552795031055901
1218,"Fiber One Snacks Fiber One Oats and Chocolate Chewy Bars, 14.1 Ounce Wrappers",$5.19,B00R1H1400,"['https://images-na.ssl-images-amazon.com/images/I/51GUsYFN5eL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/414qdYfd9wL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41-PPOAAWCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51smPGkM0eL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/6169o3uI4BL.jpg']",4.5
1219,"Nature Valley Granola Bars, Crunchy, Oats 'n Honey, 17.88 Ounce",$4.93,B00R1H0AYQ,"['https://images-na.ssl-images-amazon.com/images/I/61X1ND5xFGL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61BGsFrTJ1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51uN2QOF1%2BL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51cZ9FeK9fL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51JMk6Bm-SL.jpg']",4.593837535014005
1220,"Stacy's Pita Chips, Simply Naked, 6 Count",$3.29,B00R1J49L4,"['https://images-na.ssl-images-amazon.com/images/I/51x0h4NWyGL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51xZWqeF9CL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51GBoPF2iAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/617eEQijE%2BL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51KjDYRsFcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61bPAvZCnpL.jpg']",4.6521739130434785
1221,"Stacy's Parmesan Garlic &amp; Ranch Flavored Party Size Pita Chips, 18 Ounce",$5.29,B00R1J4ILK,"['https://images-na.ssl-images-amazon.com/images/I/51VEqoljvuL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51P6jT3B7WL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51fzFstxzWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51cS5juizHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51spuadVLGL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41-qVtW7nqL.jpg']",4.276595744680851
1222,"SunChips Garden Salsa Flavored Multigrain Snacks, 7 Ounce",$2.98,B00R1J44XW,"['https://images-na.ssl-images-amazon.com/images/I/51Rqjb%2BdOpL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Fg-ruNKaL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51KAcqOiM7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51oerph-7TL.jpg']",4.5
1223,"Stacy's Multigrain Party Size Pita Chips, 18 Ounce",$5.99,B00R1J4MYI,"['https://images-na.ssl-images-amazon.com/images/I/51e%2BxkXYDsL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51iEHkKYbXL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51uZC52ZhwL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41aIIbloIBL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51tQeHFd%2BbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51VOGiGZF5L.jpg']",4.214285714285714
1224,"Frito-Lay Doritos &amp; Cheetos Mix Orange Variety Pack, 20 Count",$6.98,B00R1J3N84,"['https://images-na.ssl-images-amazon.com/images/I/51gFFog6mHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51cAMLln-nL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61z8yGmnRjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51wTcT5I0CL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/418NBm7CTRL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61m%2BZf6WAnL.jpg']",4.412987012987013
1225,"Stacy's Pita Chips, Simply Naked, 18 Ounce",$5.29,B00R1J3RNA,"['https://images-na.ssl-images-amazon.com/images/I/51Mlf7m6rVL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51KjDYRsFcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51yw9h%2BomKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51kNehZqKdL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DuMgp-RUL.jpg']",4.17910447761194
1226,Glad Tall Flap Tie Kitchen Trash Bags - 13 Gallon - 40 Count,$2.88,B00R2FK7YA,['https://images-na.ssl-images-amazon.com/images/I/31%2B%2Bftg1y0L.jpg'],3.3333333333333335
1227,"Oreo Lemon Creme Cookies, 15.25 Ounce",$2.98,B00R2O4YJU,"['https://images-na.ssl-images-amazon.com/images/I/51cm4q7sM2L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415WMmTYebL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41eVVewHUJL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51lB9Gue4%2BL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/519lFFyP2rL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/319OzzYO2CL.jpg']",4.372037914691943
1228,"Oreo Chocolate Sandwich Cookies - Family Size, 3.1 Ounce, Pack of 1",$3.56,B00R2O5JD0,"['https://images-na.ssl-images-amazon.com/images/I/41QoDu3lxuL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/515i12KFyeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31mDNVZr8EL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51A02VSoKWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61pzQaHXI7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41BsSl0uZHL.jpg']",4.371104815864022
1229,"Oreo Golden Sandwich Cookies, 14.3 Ounce",$2.98,B00R69KX64,"['https://images-na.ssl-images-amazon.com/images/I/41vaM7omudL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41lHat3WPnL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51cgZkNCmfL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51a%2BW0P5u0L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31U9cTVmJeL.jpg']",4.62280701754386
